TransactionID,Date,Category,Product,StoreLocation,UnitsSold,UnitPrice,TotalRevenue,Rating,ReturnStatus
T1001,2024-01-15,Electronics,Laptop Pro X1,New York,2,1200.00,2400.00,4.8,Keep
T1002,2024-01-16,Clothing,Denim Jacket,Los Angeles,5,89.99,449.95,4.2,Keep
T1003,2024-01-16,Home,Smart Coffee Maker,Chicago,1,149.50,149.50,3.9,Returned
T1004,2024-01-17,Electronics,Wireless Earbuds,Houston,10,49.99,499.90,4.5,Keep
T1005,2024-01-18,Garden,Solar Path Light,Miami,20,15.00,300.00,4.0,Keep
T1006,2024-01-19,Clothing,Running Shoes,New York,3,120.00,360.00,4.7,Keep
T1007,2024-01-20,Electronics,4K Monitor,Chicago,2,350.00,700.00,4.6,Keep
T1008,2024-01-21,Home,Weighted Blanket,Seattle,4,65.00,260.00,4.9,Keep
T1009,2024-01-22,Clothing,Winter Scarf,New York,15,25.00,375.00,4.3,Keep
T1010,2024-01-23,Electronics,Smartphone Z,San Francisco,1,999.00,999.00,3.5,Returned
T1011,2024-02-01,Garden,Ceramic Pot,Los Angeles,8,30.00,240.00,4.8,Keep
T1012,2024-02-02,Home,Blender 3000,Houston,3,80.00,240.00,4.1,Keep
T1013,2024-02-03,Electronics,Tablet Mini,Miami,5,299.00,1495.00,4.6,Keep
T1014,2024-02-04,Clothing,Cotton T-Shirt,Chicago,50,15.00,750.00,4.2,Keep
T1015,2024-02-05,Electronics,Gaming Mouse,Seattle,12,60.00,720.00,4.7,Keep
T1016,2024-02-06,Home,Air Purifier,San Francisco,2,199.00,398.00,4.5,Keep
T1017,2024-02-07,Garden,Garden Hose,New York,6,35.00,210.00,3.8,Keep
T1018,2024-02-08,Clothing,Yoga Pants,Los Angeles,10,45.00,450.00,4.9,Keep
T1019,2024-02-09,Electronics,Smart Watch,Houston,4,250.00,1000.00,4.4,Keep
T1020,2024-02-10,Home,Desk Lamp,Chicago,8,40.00,320.00,4.0,Returned
T1021,2024-02-11,Electronics,Laptop Pro X1,Seattle,1,1200.00,1200.00,5.0,Keep
T1022,2024-02-12,Clothing,Summer Dress,Miami,15,55.00,825.00,4.6,Keep
T1023,2024-02-13,Garden,Fertilizer Bag,New York,20,20.00,400.00,4.2,Keep
T1024,2024-02-14,Home,Throw Pillow,Los Angeles,12,25.00,300.00,4.3,Keep
T1025,2024-02-15,Electronics,Wireless Earbuds,San Francisco,25,49.99,1249.75,4.1,Keep
T1026,2024-03-01,Clothing,Leather Belt,Chicago,10,35.00,350.00,4.5,Keep
T1027,2024-03-02,Home,Wall Clock,Houston,5,45.00,225.00,3.7,Returned
T1028,2024-03-03,Electronics,4K Monitor,New York,10,350.00,3500.00,4.8,Keep
T1029,2024-03-04,Garden,Shovel,Seattle,7,28.00,196.00,4.6,Keep
T1030,2024-03-05,Clothing,Wool Sweater,Boston,4,75.00,300.00,4.9,Keep
T1031,2024-03-06,Electronics,Smartphone Z,Los Angeles,3,999.00,2997.00,4.0,Keep
T1032,2024-03-07,Home,Bath Towel Set,Miami,20,30.00,600.00,4.4,Keep
T1033,2024-03-08,Electronics,Gaming Headset,Chicago,8,90.00,720.00,4.3,Keep
T1034,2024-03-09,Clothing,Hiking Boots,Denver,6,140.00,840.00,4.7,Keep
T1035,2024-03-10,Garden,Lawn Mower,Houston,1,450.00,450.00,4.5,Keep
